seed_status,major_group,family,notes
non-seed,Pteridophytes,Lindsaeaceae,
non-seed,Pteridophytes,Lomariopsidaceae,
non-seed,Pteridophytes,Lonchitidaceae,
non-seed,Pteridophytes,Loxsomataceae,
non-seed,Pteridophytes,Lycopodiaceae,
non-seed,Pteridophytes,Lygodiaceae,
non-seed,Pteridophytes,Marattiaceae,
non-seed,Pteridophytes,Marsileaceae,
non-seed,Pteridophytes,Matoniaceae,
non-seed,Pteridophytes,Metaxyaceae,
non-seed,Pteridophytes,Nephrolepidaceae,
non-seed,Pteridophytes,Oleandraceae,
non-seed,Pteridophytes,Onocleaceae,
non-seed,Pteridophytes,Ophioglossaceae,
non-seed,Pteridophytes,Osmundaceae,
non-seed,Pteridophytes,Plagiogyriaceae,
non-seed,Pteridophytes,Polypodiaceae,
non-seed,Pteridophytes,Psilotaceae,
non-seed,Pteridophytes,Pteridaceae,
non-seed,Pteridophytes,Rhachidosoraceae,
non-seed,Pteridophytes,Saccolomataceae,
non-seed,Pteridophytes,Salviniaceae,
non-seed,Pteridophytes,Schizaeaceae,
non-seed,Pteridophytes,Selaginellaceae,
non-seed,Pteridophytes,Tectariaceae,
non-seed,Pteridophytes,Thelypteridaceae,
non-seed,Pteridophytes,Thyrsopteridaceae,
non-seed,Pteridophytes,Woodsiaceae,
seed,Angiosperms,Acanthaceae,
seed,Angiosperms,Achariaceae,
seed,Angiosperms,Achatocarpaceae,
seed,Angiosperms,Acoraceae,
seed,Angiosperms,Actinidiaceae,
seed,Angiosperms,Adoxaceae,
seed,Angiosperms,Aextoxicaceae,
seed,Angiosperms,Aizoaceae,
seed,Angiosperms,Akaniaceae,
seed,Angiosperms,Alismataceae,
seed,Angiosperms,Alseuosmiaceae,
seed,Angiosperms,Alstroemeriaceae,
seed,Angiosperms,Altingiaceae,
seed,Angiosperms,Amaranthaceae,
seed,Angiosperms,Amaryllidaceae,
seed,Angiosperms,Amborellaceae,
seed,Angiosperms,Anacampserotaceae,
seed,Angiosperms,Anacardiaceae,
seed,Angiosperms,Anarthriaceae,
seed,Angiosperms,Ancistrocladaceae,
seed,Angiosperms,Anisophylleaceae,
seed,Angiosperms,Annonaceae,
seed,Angiosperms,Aphanopetalaceae,
seed,Angiosperms,Aphloiaceae,
seed,Angiosperms,Apiaceae,
seed,Angiosperms,Apocynaceae,
seed,Angiosperms,Apodanthaceae,
seed,Angiosperms,Aponogetonaceae,
seed,Angiosperms,Aquifoliaceae,
seed,Angiosperms,Araceae,
seed,Angiosperms,Araliaceae,
seed,Angiosperms,Arecaceae,
seed,Angiosperms,Argophyllaceae,
seed,Angiosperms,Aristolochiaceae,
seed,Angiosperms,Asparagaceae,
seed,Angiosperms,Asteliaceae,
seed,Angiosperms,Asteropeiaceae,
seed,Angiosperms,Atherospermataceae,
seed,Angiosperms,Austrobaileyaceae,
seed,Angiosperms,Balanopaceae,
seed,Angiosperms,Balanophoraceae,
seed,Angiosperms,Balsaminaceae,
seed,Angiosperms,Barbeuiaceae,
seed,Angiosperms,Barbeyaceae,
seed,Angiosperms,Basellaceae,
seed,Angiosperms,Bataceae,
seed,Angiosperms,Begoniaceae,
seed,Angiosperms,Berberidaceae,
seed,Angiosperms,Berberidopsidaceae,
seed,Angiosperms,Betulaceae,
seed,Angiosperms,Biebersteiniaceae,
seed,Angiosperms,Bignoniaceae,
seed,Angiosperms,Bixaceae,
seed,Angiosperms,Blandfordiaceae,
seed,Angiosperms,Bonnetiaceae,
seed,Angiosperms,Boraginaceae,
seed,Angiosperms,Boryaceae,
seed,Angiosperms,Brassicaceae,
seed,Angiosperms,Bromeliaceae,
seed,Angiosperms,Brunelliaceae,
seed,Angiosperms,Bruniaceae,
seed,Angiosperms,Burmanniaceae,
seed,Angiosperms,Burseraceae,
seed,Angiosperms,Butomaceae,
seed,Angiosperms,Buxaceae,
seed,Angiosperms,Byblidaceae,
seed,Angiosperms,Cabombaceae,
seed,Angiosperms,Cactaceae,
seed,Angiosperms,Calceolariaceae,
seed,Angiosperms,Calophyllaceae,
seed,Angiosperms,Calycanthaceae,
seed,Angiosperms,Calyceraceae,
seed,Angiosperms,Campanulaceae,
seed,Angiosperms,Campynemataceae,
seed,Angiosperms,Canellaceae,
seed,Angiosperms,Cannabaceae,
seed,Angiosperms,Cannaceae,
seed,Angiosperms,Capparaceae,
seed,Angiosperms,Caprifoliaceae,
seed,Angiosperms,Cardiopteridaceae,
seed,Angiosperms,Caricaceae,
seed,Angiosperms,Carlemanniaceae,
seed,Angiosperms,Caryocaraceae,
seed,Angiosperms,Caryophyllaceae,
seed,Angiosperms,Casuarinaceae,
seed,Angiosperms,Celastraceae,
seed,Angiosperms,Centrolepidaceae,
seed,Angiosperms,Centroplacaceae,
seed,Angiosperms,Cephalotaceae,
seed,Angiosperms,Ceratophyllaceae,
seed,Angiosperms,Cercidiphyllaceae,
seed,Angiosperms,Chloranthaceae,
seed,Angiosperms,Chrysobalanaceae,
seed,Angiosperms,Circaeasteraceae,
seed,Angiosperms,Cistaceae,
seed,Angiosperms,Cleomaceae,
seed,Angiosperms,Clethraceae,
seed,Angiosperms,Clusiaceae,
seed,Angiosperms,Colchicaceae,
seed,Angiosperms,Columelliaceae,
seed,Angiosperms,Combretaceae,
seed,Angiosperms,Commelinaceae,
seed,Angiosperms,Connaraceae,
seed,Angiosperms,Convolvulaceae,
seed,Angiosperms,Coriariaceae,
seed,Angiosperms,Cornaceae,
seed,Angiosperms,Corsiaceae,
seed,Angiosperms,Corynocarpaceae,
seed,Angiosperms,Costaceae,
seed,Angiosperms,Crassulaceae,
seed,Angiosperms,Crossosomataceae,
seed,Angiosperms,Ctenolophonaceae,
seed,Angiosperms,Cucurbitaceae,
seed,Angiosperms,Cunoniaceae,
seed,Angiosperms,Curtisiaceae,
seed,Angiosperms,Cyclanthaceae,
seed,Angiosperms,Cymodoceaceae,
seed,Angiosperms,Cynomoriaceae,
seed,Angiosperms,Cyperaceae,
seed,Angiosperms,Cyrillaceae,
seed,Angiosperms,Cytinaceae,
seed,Angiosperms,Daphniphyllaceae,
seed,Angiosperms,Dasypogonaceae,
seed,Angiosperms,Datiscaceae,
seed,Angiosperms,Degeneriaceae,
seed,Angiosperms,Diapensiaceae,
seed,Angiosperms,Dichapetalaceae,
seed,Angiosperms,Didiereaceae,
seed,Angiosperms,Dilleniaceae,
seed,Angiosperms,Dioncophyllaceae,
seed,Angiosperms,Dioscoreaceae,
seed,Angiosperms,Dipentodontaceae,
seed,Angiosperms,Dipterocarpaceae,
seed,Angiosperms,Dirachmaceae,
seed,Angiosperms,Doryanthaceae,
seed,Angiosperms,Droseraceae,
seed,Angiosperms,Drosophyllaceae,
seed,Angiosperms,Ebenaceae,
seed,Angiosperms,Ecdeiocoleaceae,
seed,Angiosperms,Elaeagnaceae,
seed,Angiosperms,Elaeocarpaceae,
seed,Angiosperms,Elatinaceae,
seed,Angiosperms,Emblingiaceae,
seed,Angiosperms,Ericaceae,
seed,Angiosperms,Eriocaulaceae,
seed,Angiosperms,Erythroxylaceae,
seed,Angiosperms,Escalloniaceae,
seed,Angiosperms,Eucommiaceae,
seed,Angiosperms,Euphorbiaceae,
seed,Angiosperms,Euphroniaceae,
seed,Angiosperms,Eupomatiaceae,
seed,Angiosperms,Eupteleaceae,
seed,Angiosperms,Fagaceae,
seed,Angiosperms,Flacourtiaceae,
seed,Angiosperms,Flagellariaceae,
seed,Angiosperms,Fouquieriaceae,
seed,Angiosperms,Frankeniaceae,
seed,Angiosperms,Garryaceae,
seed,Angiosperms,Geissolomataceae,
seed,Angiosperms,Gelsemiaceae,
seed,Angiosperms,Gentianaceae,
seed,Angiosperms,Geraniaceae,
seed,Angiosperms,Gerrardinaceae,
seed,Angiosperms,Gesneriaceae,
seed,Angiosperms,Gisekiaceae,
seed,Angiosperms,Gomortegaceae,
seed,Angiosperms,Goodeniaceae,
seed,Angiosperms,Goupiaceae,
seed,Angiosperms,Grossulariaceae,
seed,Angiosperms,Grubbiaceae,
seed,Angiosperms,Guamatelaceae,
seed,Angiosperms,Gunneraceae,
seed,Angiosperms,Gyrostemonaceae,
seed,Angiosperms,Haemodoraceae,
seed,Angiosperms,Halophytaceae,
seed,Angiosperms,Haloragaceae,
seed,Angiosperms,Hamamelidaceae,
seed,Angiosperms,Hanguanaceae,
seed,Angiosperms,Haptanthaceae,
seed,Angiosperms,Heliconiaceae,
seed,Angiosperms,Helwingiaceae,
seed,Angiosperms,Hernandiaceae,
seed,Angiosperms,Himantandraceae,
seed,Angiosperms,Huaceae,
seed,Angiosperms,Humiriaceae,
seed,Angiosperms,Hydatellaceae,
seed,Angiosperms,Hydnoraceae,
seed,Angiosperms,Hydrangeaceae,
seed,Angiosperms,Hydrocharitaceae,
seed,Angiosperms,Hydroleaceae,
seed,Angiosperms,Hydrostachyaceae,
seed,Angiosperms,Hypericaceae,
seed,Angiosperms,Hypoxidaceae,
seed,Angiosperms,Icacinaceae,
seed,Angiosperms,Iridaceae,
seed,Angiosperms,Irvingiaceae,
seed,Angiosperms,Iteaceae,
seed,Angiosperms,Ixioliriaceae,
seed,Angiosperms,Ixonanthaceae,
seed,Angiosperms,Joinvilleaceae,
seed,Angiosperms,Juglandaceae,
seed,Angiosperms,Juncaceae,
seed,Angiosperms,Juncaginaceae,
seed,Angiosperms,Kirkiaceae,
seed,Angiosperms,Koeberliniaceae,
seed,Angiosperms,Krameriaceae,
seed,Angiosperms,Lacistemataceae,
seed,Angiosperms,Lactoridaceae,
seed,Angiosperms,Lamiaceae,
seed,Angiosperms,Lanariaceae,
seed,Angiosperms,Lardizabalaceae,
seed,Angiosperms,Lauraceae,
seed,Angiosperms,Lecythidaceae,
seed,Angiosperms,Lentibulariaceae,
seed,Angiosperms,Lepidobotryaceae,
seed,Angiosperms,Liliaceae,
seed,Angiosperms,Limeaceae,
seed,Angiosperms,Limnanthaceae,
seed,Angiosperms,Linaceae,
seed,Angiosperms,Linderniaceae,
seed,Angiosperms,Loasaceae,
seed,Angiosperms,Loganiaceae,
seed,Angiosperms,Lophiocarpaceae,
seed,Angiosperms,Lophopyxidaceae,
seed,Angiosperms,Loranthaceae,
seed,Angiosperms,Lowiaceae,
seed,Angiosperms,Lythraceae,
seed,Angiosperms,Magnoliaceae,
seed,Angiosperms,Malpighiaceae,
seed,Angiosperms,Malvaceae,
seed,Angiosperms,Marantaceae,
seed,Angiosperms,Marcgraviaceae,
seed,Angiosperms,Martyniaceae,
seed,Angiosperms,Mayacaceae,
seed,Angiosperms,Melanthiaceae,
seed,Angiosperms,Melastomataceae,
seed,Angiosperms,Meliaceae,
seed,Angiosperms,Melianthaceae,
seed,Angiosperms,Menispermaceae,
seed,Angiosperms,Menyanthaceae,
seed,Angiosperms,Metteniusaceae,
seed,Angiosperms,Misodendraceae,
seed,Angiosperms,Mitrastemonaceae,
seed,Angiosperms,Molluginaceae,
seed,Angiosperms,Monimiaceae,
seed,Angiosperms,Montiaceae,
seed,Angiosperms,Montiniaceae,
seed,Angiosperms,Moraceae,
seed,Angiosperms,Moringaceae,
seed,Angiosperms,Muntingiaceae,
seed,Angiosperms,Musaceae,
seed,Angiosperms,Myodocarpaceae,
seed,Angiosperms,Myricaceae,
seed,Angiosperms,Myristicaceae,
seed,Angiosperms,Myrothamnaceae,
seed,Angiosperms,Myrtaceae,
seed,Angiosperms,Nartheciaceae,
seed,Angiosperms,Nelumbonaceae,
seed,Angiosperms,Nepenthaceae,
seed,Angiosperms,Neuradaceae,
seed,Angiosperms,Nitrariaceae,
seed,Angiosperms,Nothofagaceae,
seed,Angiosperms,Nyctaginaceae,
seed,Angiosperms,Nymphaeaceae,
seed,Angiosperms,Ochnaceae,
seed,Angiosperms,Olacaceae,
seed,Angiosperms,Oleaceae,
seed,Angiosperms,Onagraceae,
seed,Angiosperms,Oncothecaceae,
seed,Angiosperms,Opiliaceae,
seed,Angiosperms,Orchidaceae,
seed,Angiosperms,Orobanchaceae,
seed,Angiosperms,Oxalidaceae,
seed,Angiosperms,Paeoniaceae,
seed,Angiosperms,Pandaceae,
seed,Angiosperms,Pandanaceae,
seed,Angiosperms,Papaveraceae,
seed,Angiosperms,Paracryphiaceae,
seed,Angiosperms,Passifloraceae,
seed,Angiosperms,Paulowniaceae,
seed,Angiosperms,Pedaliaceae,
seed,Angiosperms,Penaeaceae,
seed,Angiosperms,Pennantiaceae,
seed,Angiosperms,Pentadiplandraceae,
seed,Angiosperms,Pentaphragmataceae,
seed,Angiosperms,Pentaphylacaceae,
seed,Angiosperms,Penthoraceae,
seed,Angiosperms,Peraceae,
seed,Angiosperms,Peridiscaceae,
seed,Angiosperms,Petenaeaceae,
seed,Angiosperms,Petermanniaceae,
seed,Angiosperms,Petrosaviaceae,
seed,Angiosperms,Phellinaceae,
seed,Angiosperms,Philesiaceae,
